scope,name,path,lines,decision
hermes,unsloth,/Users/alexjordan/.hermes/skills/mlops/training/unsloth/SKILL.md,83,see_report
hermes,obsidian,/Users/alexjordan/.hermes/skills/note-taking/obsidian/SKILL.md,68,see_report
hermes,mmx-cli,/Users/alexjordan/.hermes/skills/openclaw-imports/mmx-cli/SKILL.md,431,see_report
hermes,pr-review-worktree,/Users/alexjordan/.hermes/skills/pr-review-worktree/SKILL.md,99,see_report
hermes,airtable,/Users/alexjordan/.hermes/skills/productivity/airtable/SKILL.md,229,see_report
hermes,analytical-report-delivery,/Users/alexjordan/.hermes/skills/productivity/analytical-report-delivery/SKILL.md,111,see_report
hermes,box,/Users/alexjordan/.hermes/skills/productivity/box/SKILL.md,117,see_report
hermes,browser-profile-sync-migration,/Users/alexjordan/.hermes/skills/productivity/browser-profile-sync-migration/SKILL.md,112,see_report
hermes,daily-cockpit-report,/Users/alexjordan/.hermes/skills/productivity/daily-cockpit-report/SKILL.md,65,see_report
hermes,document-to-action-items,/Users/alexjordan/.hermes/skills/productivity/document-to-action-items/SKILL.md,81,see_report
hermes,docx,/Users/alexjordan/.hermes/skills/productivity/docx/SKILL.md,196,see_report
hermes,google-workspace,/Users/alexjordan/.hermes/skills/productivity/google-workspace/SKILL.md,340,see_report
hermes,linear,/Users/alexjordan/.hermes/skills/productivity/linear/SKILL.md,297,see_report
hermes,maps,/Users/alexjordan/.hermes/skills/productivity/maps/SKILL.md,195,see_report
hermes,meeting-action-items,/Users/alexjordan/.hermes/skills/productivity/meeting-action-items/SKILL.md,87,see_report
hermes,nano-pdf,/Users/alexjordan/.hermes/skills/productivity/nano-pdf/SKILL.md,53,see_report
hermes,notion,/Users/alexjordan/.hermes/skills/productivity/notion/SKILL.md,448,see_report
hermes,ocr-and-documents,/Users/alexjordan/.hermes/skills/productivity/ocr-and-documents/SKILL.md,175,see_report
hermes,pdf,/Users/alexjordan/.hermes/skills/productivity/pdf/SKILL.md,125,see_report
hermes,petdex,/Users/alexjordan/.hermes/skills/productivity/petdex/SKILL.md,89,see_report
hermes,powerpoint,/Users/alexjordan/.hermes/skills/productivity/powerpoint/SKILL.md,220,see_report
hermes,product-price-monitor,/Users/alexjordan/.hermes/skills/productivity/product-price-monitor/SKILL.md,79,see_report
hermes,reminder-routing,/Users/alexjordan/.hermes/skills/productivity/reminder-routing/SKILL.md,50,see_report
hermes,session-librarian,/Users/alexjordan/.hermes/skills/productivity/session-librarian/SKILL.md,105,see_report
hermes,teams-meeting-pipeline,/Users/alexjordan/.hermes/skills/productivity/teams-meeting-pipeline/SKILL.md,122,see_report
hermes,tui-widgets,/Users/alexjordan/.hermes/skills/productivity/tui-widgets/SKILL.md,149,see_report
hermes,weekly-review-planning,/Users/alexjordan/.hermes/skills/productivity/weekly-review-planning/SKILL.md,81,see_report
hermes,xlsx,/Users/alexjordan/.hermes/skills/productivity/xlsx/SKILL.md,196,see_report
hermes,godmode,/Users/alexjordan/.hermes/skills/red-teaming/godmode/SKILL.md,403,see_report
hermes,arxiv,/Users/alexjordan/.hermes/skills/research/arxiv/SKILL.md,282,see_report
hermes,blogwatcher,/Users/alexjordan/.hermes/skills/research/blogwatcher/SKILL.md,137,see_report
hermes,competitor-news-monitor,/Users/alexjordan/.hermes/skills/research/competitor-news-monitor/SKILL.md,88,see_report
hermes,consumer-product-recommendations,/Users/alexjordan/.hermes/skills/research/consumer-product-recommendations/SKILL.md,113,see_report
